,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
73,74,university of groningen,netherlands,43.3,63.9,56.9,84.0,92.4,62.4,24556.0,25.6,12%,52:48:00
74,75,pennsylvania state university,usa,50.4,40.8,61.9,80.5,56.2,62.3,44501.0,12.4,12%,46:54:00
75,76,university of glasgow,united kingdom,41.6,85.8,48.3,92.3,31.6,61.9,22616.0,16.0,29%,57:43:00
76,76,university of helsinki,finland,48.4,51.8,60.4,82.1,31.6,61.9,23505.0,15.1,6%,66:34:00
77,78,university of tübingen,germany,47.0,58.2,59.8,79.3,59.2,61.7,28327.0,38.9,12%,58:42:00
78,79,university of pittsburgh,usa,50.6,33.9,50.3,92.3,39.3,61.5,26485.0,5.8,10%,51:49:00
79,80,university of warwick,united kingdom,47.4,90.3,53.1,78.2,37.7,61.3,18529.0,16.6,37%,48:52:00
80,81,uppsala university,sweden,44.1,59.6,61.0,80.9,39.5,61.2,25266.0,18.2,12%,57:43:00
81,82,university of copenhagen,denmark,49.8,83.3,42.7,86.2,45,61,27545.0,4.1,19%,67:33:00
82,82,university of new south wales,australia,40.7,89.5,53.9,82.1,50,61,38309.0,25.9,33%,47:53:00
83,84,university of freiburg,germany,47.4,60.3,51.1,80.5,100,60.7,26467.0,31.2,16%,52:48:00
84,85,seoul national university,south korea,66.5,30.9,70.5,50.0,85.4,60.5,26389.0,13.9,10%,nan
85,86,university of st andrews,united kingdom,49.7,92.3,47.3,78.8,30.6,60.4,8338.0,12.7,47%,56:44:00
86,87,vanderbilt university,usa,47.8,29.1,44.2,95.7,63.2,60.1,12161.0,3.6,10%,52:48:00
87,88,kyoto university,japan,70.6,26.1,69.3,46.6,79,59.9,22809.0,5.6,7%,nan
88,88,maastricht university,netherlands,37.5,95.5,47.7,82.7,95.4,59.9,15626.0,18.9,48%,56:44:00
89,90,emory university,usa,48.3,51.0,37.1,96.7,48.9,59.7,12338.0,4.5,18%,56:44:00
90,90,lund university,sweden,39.7,74.1,53.6,81.3,70.4,59.7,28251.0,11.5,15%,nan
91,90,ohio state university,usa,51.6,53.0,46.6,83.2,53.1,59.7,51462.0,13.4,12%,49:51:00
92,93,university of exeter,united kingdom,39.4,87.3,40.0,94.3,31.9,59.5,17755.0,18.8,28%,54:46:00
93,94,university of bonn,germany,45.1,63.6,47.5,85.3,-,58.8,32474.0,70.4,13%,55:45:00
94,94,georgetown university,usa,54.4,52.7,39.3,82.5,80.7,58.8,15408.0,8.5,14%,53:47:00
95,94,mcmaster university,canada,39.8,76.1,44.8,84.9,88,58.8,23823.0,19.3,15%,53:47:00
